stshortname,stname,stcode,stdate1,stdate2,stroadname,stroadcode,stcountry,stcountrycode
ВЫБОРГ-ПЕРЕВ,ВЫБОРГ-ПЕРЕВАЛКА,2340,18.09.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КАЛАШНИКОВО,КАЛАШНИКОВО,6230,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ДОБЫВАЛОВО,ДОБЫВАЛОВО,5510,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СРЕДНЕРОГАТС,СРЕДНЕРОГАТСКАЯ,3490,16.10.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЛЕВАШОВО,ЛЕВАШОВО,3880,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
РУДНИЧНАЯ,РУДНИЧНАЯ,7310,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ВЫБОР(ЭКС),ВЫБОРГ (ЭКСП.),2010,24.08.2006,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЛУЖСКАЯ-ПАР.,ЛУЖСКАЯ (ПАРОМ),7660,25.08.2006,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БОЛЬШ. ИЖОРА,БОЛЬШАЯ ИЖОРА,7520,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПИНОЗЕРО,ПИНОЗЕРО,1510,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ЕРМИЛОВО,ЕРМИЛОВО,2020,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ОСЕЧЕНКА,ОСЕЧЕНКА,6250,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КЯППЕСЕЛЬГА,КЯППЕСЕЛЬГА,1100,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПРИВЕТНЕНСК,ПРИВЕТНЕНСКОЕ,3970,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БОЛОГОЕ-МОСК,БОЛОГОЕ-МОСКОВСКОЕ,5000,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
САЛА,САЛА,7340,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
СУККОЗЕРО,СУККОЗЕРО,2700,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ИМАТОЗЕРО,ИМАТОЗЕРО,2560,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
САПЕРНАЯ,САПЕРНАЯ,3070,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БУРГА,БУРГА,4150,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
НЕВСКАЯ ДУБР,НЕВСКАЯ ДУБРОВКА,3660,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
БОРИС.ГРИВА,БОРИСОВА ГРИВА,3630,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
ПЯЖИЕВ.СЕЛЬГ,ПЯЖИЕВА СЕЛЬГА,4960,20.04.2005,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
КОМСОМОЛ-МУР,КОМСОМОЛЬСК-МУРМАНСКИЙ,1860,01.08.2000,01.01.3000,ОКТЯБРЬСКАЯ,1,Российская Федерация,643
